"","Subtype","Gene","Type","Mean","SE"
"1","1A","Core","nonsyn",0.00305708527078059,4.91536773041716e-05
"2","1B","Core","nonsyn",0.00331699064556954,0.000152011528905076
"3","3A","Core","nonsyn",0.00305015785502471,6.82463366730535e-05
"4","1A","E1","nonsyn",0.00411099405315549,4.65759969595137e-05
"5","1B","E1","nonsyn",0.00379306021315074,0.000143460065324398
"6","3A","E1","nonsyn",0.00461908211717912,8.93353148500132e-05
"7","1A","E2","nonsyn",0.00447078979513139,0.000133025274938134
"8","1B","E2","nonsyn",0.00528530888897237,0.000426523758491272
"9","3A","E2","nonsyn",0.00444220099403619,0.000293836052777443
"10","1A","HVR1","nonsyn",0.0160777528263198,6.12438512991044e-05
"11","1B","HVR1","nonsyn",0.0164653142555417,0.00015795071872471
"12","3A","HVR1","nonsyn",0.0111080416853998,0.000169951585900908
"13","1A","NS2","nonsyn",0.004933490091537,6.57753973129031e-05
"14","1B","NS2","nonsyn",0.00471243034302922,0.000146963879677245
"15","3A","NS2","nonsyn",0.00376811350531732,0.00019854394474849
"16","1A","NS3","nonsyn",0.00345301696542676,6.97097677826133e-05
"17","1B","NS3","nonsyn",0.00339189197128637,0.000173479491131794
"18","3A","NS3","nonsyn",0.00327567970542732,0.000174986080271946
"19","1A","NS4A","nonsyn",0.0040053073114635,7.39902001014775e-05
"20","1B","NS4A","nonsyn",0.00414060842559751,0.000187377763401395
"21","3A","NS4A","nonsyn",0.00306884608183802,0.000175033060309116
"22","1A","NS4B","nonsyn",0.00329742506548126,9.25607676991482e-05
"23","1B","NS4B","nonsyn",0.00311025392163951,0.000246195624481132
"24","3A","NS4B","nonsyn",0.0030998851118935,0.000195505990975238
"25","1A","NS5A","nonsyn",0.00412556142820138,9.25058815132461e-05
"26","1B","NS5A","nonsyn",0.00397399888757203,0.00022197470862705
"27","3A","NS5A","nonsyn",0.00385230858701387,0.000197496003614116
"28","1A","NS5B","nonsyn",0.00337502023219423,9.7771078071293e-05
"29","1B","NS5B","nonsyn",0.00344955805302631,0.00026239719438762
"30","3A","NS5B","nonsyn",0.00354537758285368,0.000217801659182673
"31","1A","P7","nonsyn",0.00508745865670739,8.27504376667511e-05
"32","1B","P7","nonsyn",0.00413900033743702,0.000247288081158393
"33","3A","P7","nonsyn",0.00372602864244495,0.000194700055520871
"34","1A","Core","stop",0.00221320058412115,8.22780312265027e-05
"35","1B","Core","stop",0.00200233528774372,0.000228579084733704
"36","3A","Core","stop",0.00208565580741068,0.000114909381519799
"37","1A","E1","stop",0.00177047576021408,8.2812239674015e-05
"38","1B","E1","stop",0.00178973545217642,0.000252027584728153
"39","3A","E1","stop",0.00177435302126545,0.000133507668726024
"40","1A","E2","stop",0.00330906703357516,0.000112122946109023
"41","1B","E2","stop",0.00183266580333195,0.00029490583402644
"42","3A","E2","stop",0.00197373234364895,0.000279258303959135
"43","1A","HVR1","stop",0.001648245083103,0.000109411232274834
"44","1B","HVR1","stop",0.000476490424685177,0.000257539081844426
"45","3A","HVR1","stop",0.00101979686634652,0.000265907218279026
"46","1A","NS2","stop",0.00251985179216544,9.86199537685098e-05
"47","1B","NS2","stop",0.00199787344659868,0.000276927760626676
"48","3A","NS2","stop",0.00176798260071128,0.000357719315570882
"49","1A","NS3","stop",0.00175125773390201,0.000117465963948474
"50","1B","NS3","stop",0.00163625170153401,0.000297600315854784
"51","3A","NS3","stop",0.00168004422089158,0.000308821134389842
"52","1A","NS4A","stop",0.00425350946659217,0.0001460439275997
"53","1B","NS4A","stop",0.00200026172649135,0.00036528883497476
"54","3A","NS4A","stop",0.00165581043641702,0.00032502333493917
"55","1A","NS4B","stop",0.00205711579911329,0.000153879643083906
"56","1B","NS4B","stop",0.00179611817889067,0.000434250586127783
"57","3A","NS4B","stop",0.00171420297824645,0.00036373489529316
"58","1A","NS5A","stop",0.00178268784012239,0.00018650093964504
"59","1B","NS5A","stop",0.00172086516619796,0.000457512803839217
"60","3A","NS5A","stop",0.0017401802612284,0.000383328713644368
"61","1A","NS5B","stop",0.00181079147732888,0.000170851986092228
"62","1B","NS5B","stop",0.00172061848459682,0.000433079305244767
"63","3A","NS5B","stop",0.00167339031220214,0.000379680427764016
"64","1A","P7","stop",0.00205956591084643,0.000146552949729131
"65","1B","P7","stop",0.00245682580748558,0.000404272718275008
"66","3A","P7","stop",0.00166849500615737,0.000311439149495964
"67","1A","Core","syn",0.00881215244632468,4.95114388525241e-05
"68","1B","Core","syn",0.00767661245084547,0.000126441865950776
"69","3A","Core","syn",0.00882882448273717,6.37919211319038e-05
"70","1A","E1","syn",0.0129826369480709,3.01689072520441e-05
"71","1B","E1","syn",0.0117512037517604,9.84381335421861e-05
"72","3A","E1","syn",0.0106132144317468,6.20899761252243e-05
"73","1A","E2","syn",0.0143177989718959,3.84180496833632e-05
"74","1B","E2","syn",0.0141829999270206,5.01851855904513e-05
"75","3A","E2","syn",0.01095875349934,7.50019327867335e-05
"76","1A","HVR1","syn",0.0113017248255755,5.2730532963261e-05
"77","1B","HVR1","syn",0.00787710185296193,9.25802446001033e-05
"78","3A","HVR1","syn",0.0100721543338393,0.000114927692910156
"79","1A","NS2","syn",0.0142119996117531,4.16337020102274e-05
"80","1B","NS2","syn",0.013957040958574,0.000114179030871427
"81","3A","NS2","syn",0.011875600875724,0.000134791826002423
"82","1A","NS3","syn",0.0136807211630721,4.94976901737074e-05
"83","1B","NS3","syn",0.0130242010554368,0.00011472417315096
"84","3A","NS3","syn",0.0113215395726407,0.000122146772489125
"85","1A","NS4A","syn",0.0110405103219668,5.14272980541288e-05
"86","1B","NS4A","syn",0.0129696534075953,0.000130422840046146
"87","3A","NS4A","syn",0.0106809206865692,0.000130067058035642
"88","1A","NS4B","syn",0.0135487290738401,9.81601152589265e-05
"89","1B","NS4B","syn",0.0133971094193951,0.000170755765836493
"90","3A","NS4B","syn",0.011786855057165,0.000141908236079035
"91","1A","NS5A","syn",0.0127338963812301,6.9595276461878e-05
"92","1B","NS5A","syn",0.0108713880762459,0.000162582365340995
"93","3A","NS5A","syn",0.0117918202597779,0.00014356380912996
"94","1A","NS5B","syn",0.0107172905961251,6.20955162821394e-05
"95","1B","NS5B","syn",0.0093051071087109,0.000162841445035043
"96","3A","NS5B","syn",0.0093896708783255,0.000143748978619411
"97","1A","P7","syn",0.0115033665376452,5.86671790620995e-05
"98","1B","P7","syn",0.0148111305086688,0.000172771829198813
"99","3A","P7","syn",0.0122613527427571,0.000125277835798858
