"","1a-1b","1a-3a","1b-3a"
"5' UTR",0.580819123090577,0.533191140247564,0.419180876909423
"Core",0.0735777734127091,0.00486707675786689,0.122565643225734
"E1",4.45397202826067e-06,1.55701033101656e-06,0.303414384432638
"HVR1",0.0557902652764915,0.0262200842463884,0.577023726677598
"E2",0.00552115942139406,3.46991538460386e-06,0.0390931008232905
"P7",0.0763438855565849,0.00088125027755245,0.0476285582862432
"NS2",0.00254021370996073,2.84072952910268e-07,0.0113156149945166
"NS3",5.27518891386586e-05,7.56914108681158e-09,0.0413927065036592
"NS4A",0.0869302834080913,0.0176029685581579,0.273599301837213
"NS4B",0.000431526560736323,0.000725741846373189,0.587783766071724
"NS5A",2.33946586432413e-08,4.0498103147889e-09,0.367229912329672
"NS5B",0.00322738552720305,0.000737654722917052,0.30133651990181
